Date,open,high,low,close,adj close,volume,color,ema
1999-01-22,0.44,0.49,0.39,0.41,0.38,271468800,RED,
1999-01-25,0.44,0.46,0.41,0.45,0.42,51048000,GREEN,
1999-01-26,0.46,0.47,0.41,0.42,0.38,34320000,RED,
1999-01-27,0.42,0.43,0.4,0.42,0.38,24436800,GREEN,
1999-01-28,0.42,0.42,0.41,0.42,0.38,22752000,GREEN,
1999-01-29,0.42,0.42,0.4,0.4,0.36,24403200,RED,
1999-02-01,0.4,0.41,0.4,0.4,0.37,15470400,GREEN,
1999-02-02,0.4,0.41,0.36,0.37,0.34,26409600,RED,
1999-02-03,0.37,0.39,0.36,0.38,0.35,7512000,GREEN,0.4077777777777778
1999-02-04,0.39,0.41,0.38,0.4,0.37,18192000,GREEN,0.40622222222222226
1999-02-05,0.41,0.42,0.4,0.41,0.38,13684800,GREEN,0.4069777777777778
1999-02-08,0.42,0.42,0.4,0.4,0.37,15408000,RED,0.4055822222222223
1999-02-09,0.41,0.41,0.38,0.38,0.35,8697600,RED,0.40046577777777786
1999-02-10,0.38,0.39,0.37,0.38,0.35,14822400,GREEN,0.3963726222222223
1999-02-11,0.38,0.43,0.38,0.41,0.38,13224000,GREEN,0.3990980977777779
1999-02-12,0.42,0.44,0.42,0.43,0.4,10972800,GREEN,0.40527847822222235
1999-02-16,0.44,0.46,0.39,0.44,0.4,21100800,GREEN,0.41222278257777795
1999-02-17,0.43,0.43,0.41,0.41,0.38,6772800,RED,0.4117782260622224
1999-02-18,0.43,0.43,0.41,0.42,0.39,7070400,RED,0.41342258084977795
1999-02-19,0.42,0.44,0.41,0.43,0.4,7536000,GREEN,0.4167380646798224
1999-02-22,0.44,0.45,0.41,0.44,0.4,20524800,GREEN,0.421390451743858
1999-02-23,0.45,0.47,0.42,0.46,0.42,13809600,GREEN,0.4291123613950864
1999-02-24,0.53,0.55,0.48,0.49,0.45,61276800,RED,0.44128988911606915
1999-02-25,0.52,0.53,0.47,0.48,0.44,14913600,RED,0.44903191129285536
1999-02-26,0.48,0.5,0.45,0.46,0.42,17260800,RED,0.4512255290342843
1999-03-01,0.47,0.48,0.44,0.46,0.42,9216000,RED,0.4529804232274275
1999-03-02,0.46,0.46,0.45,0.46,0.42,5524800,GREEN,0.45438433858194205
1999-03-03,0.46,0.46,0.42,0.42,0.39,6139200,RED,0.4475074708655537
1999-03-04,0.45,0.45,0.41,0.42,0.38,5736000,RED,0.442005976692443
1999-03-05,0.42,0.44,0.42,0.44,0.4,7876800,GREEN,0.4416047813539545
1999-03-08,0.43,0.46,0.42,0.45,0.41,7588800,GREEN,0.4432838250831636
1999-03-09,0.44,0.47,0.44,0.46,0.42,14318400,GREEN,0.4466270600665309
1999-03-10,0.47,0.47,0.45,0.45,0.41,23534400,RED,0.44730164805322475
1999-03-11,0.44,0.45,0.43,0.43,0.4,5428800,RED,0.44384131844257985
1999-03-12,0.43,0.43,0.42,0.42,0.39,9076800,RED,0.43907305475406394
1999-03-15,0.43,0.45,0.43,0.44,0.41,10881600,GREEN,0.4392584438032512
1999-03-16,0.45,0.45,0.42,0.43,0.39,7915200,RED,0.437406755042601
1999-03-17,0.43,0.44,0.42,0.43,0.4,5136000,GREEN,0.43592540403408087
1999-03-18,0.43,0.44,0.42,0.44,0.4,4632000,GREEN,0.43674032322726475
1999-03-19,0.43,0.45,0.43,0.44,0.4,10531200,GREEN,0.43739225858181185
1999-03-22,0.45,0.45,0.42,0.42,0.39,3667200,RED,0.4339138068654495
1999-03-23,0.43,0.43,0.39,0.4,0.37,16396800,RED,0.42713104549235964
1999-03-24,0.4,0.4,0.38,0.4,0.36,6086400,GREEN,0.4217048363938877
1999-03-25,0.39,0.42,0.39,0.4,0.37,4032000,GREEN,0.4173638691151102
1999-03-26,0.41,0.44,0.41,0.44,0.4,8827200,GREEN,0.4218910952920882
1999-03-29,0.45,0.46,0.44,0.45,0.41,6595200,GREEN,0.42751287623367057
1999-03-30,0.45,0.45,0.41,0.41,0.38,6950400,RED,0.4240103009869365
1999-03-31,0.42,0.45,0.4,0.44,0.4,15360000,GREEN,0.4272082407895492
1999-04-01,0.44,0.44,0.42,0.43,0.39,3043200,RED,0.4277665926316394
1999-04-05,0.42,0.43,0.41,0.41,0.38,9864000,RED,0.42421327410531157
1999-04-06,0.42,0.42,0.4,0.4,0.37,6969600,RED,0.4193706192842493
1999-04-07,0.41,0.44,0.4,0.44,0.4,8928000,GREEN,0.4234964954273995
1999-04-08,0.44,0.46,0.43,0.45,0.41,13012800,GREEN,0.42879719634191965
1999-04-09,0.45,0.45,0.43,0.44,0.4,4862400,RED,0.43103775707353575
1999-04-12,0.43,0.43,0.41,0.42,0.38,3331200,RED,0.4288302056588286
1999-04-13,0.43,0.43,0.4,0.4,0.37,3614400,RED,0.4230641645270629
1999-04-14,0.4,0.41,0.39,0.39,0.36,4828800,RED,0.4164513316216504
1999-04-15,0.4,0.4,0.39,0.4,0.37,3585600,GREEN,0.41316106529732033
1999-04-16,0.4,0.42,0.4,0.41,0.38,3892800,GREEN,0.4125288522378563
1999-04-19,0.42,0.42,0.39,0.4,0.36,3129600,RED,0.41002308179028507
1999-04-20,0.4,0.41,0.38,0.39,0.36,6768000,RED,0.4060184654322281
1999-04-21,0.39,0.4,0.39,0.39,0.36,3748800,GREEN,0.4028147723457825
1999-04-22,0.4,0.4,0.37,0.38,0.35,22718400,RED,0.39825181787662606
1999-04-23,0.38,0.38,0.36,0.36,0.33,12604800,RED,0.3906014543013009
1999-04-26,0.36,0.36,0.33,0.34,0.31,12350400,RED,0.3804811634410407
1999-04-27,0.35,0.38,0.34,0.38,0.35,22694400,GREEN,0.3803849307528326
1999-04-28,0.38,0.38,0.36,0.38,0.34,12009600,GREEN,0.3803079446022661
1999-04-29,0.38,0.38,0.37,0.38,0.34,4814400,GREEN,0.3802463556818129
1999-04-30,0.38,0.4,0.38,0.38,0.35,9931200,GREEN,0.38019708454545037
1999-05-03,0.38,0.38,0.37,0.38,0.35,3384000,GREEN,0.38015766763636033
1999-05-04,0.38,0.38,0.35,0.36,0.33,9604800,RED,0.3761261341090883
1999-05-05,0.36,0.37,0.34,0.37,0.34,14457600,GREEN,0.37490090728727066
1999-05-06,0.37,0.38,0.35,0.36,0.33,3561600,RED,0.37192072582981656
1999-05-07,0.35,0.37,0.35,0.36,0.33,2500800,GREEN,0.36953658066385325
1999-05-10,0.36,0.37,0.36,0.36,0.33,1968000,GREEN,0.36762926453108263
1999-05-11,0.38,0.4,0.37,0.38,0.35,17174400,GREEN,0.37010341162486615
1999-05-12,0.39,0.4,0.38,0.4,0.36,16848000,GREEN,0.37608272929989295
1999-05-13,0.4,0.41,0.39,0.4,0.36,6993600,GREEN,0.3808661834399144
1999-05-14,0.4,0.4,0.37,0.38,0.34,2846400,RED,0.38069294675193155
1999-05-17,0.37,0.39,0.37,0.39,0.36,3576000,GREEN,0.38255435740154525
1999-05-18,0.4,0.42,0.39,0.41,0.38,15153600,GREEN,0.3880434859212362
1999-05-19,0.43,0.45,0.39,0.39,0.36,45172800,RED,0.388434788736989
1999-05-20,0.4,0.4,0.35,0.36,0.33,17817600,RED,0.38274783098959125
1999-05-21,0.36,0.36,0.34,0.35,0.32,30350400,RED,0.376198264791673
1999-05-24,0.36,0.36,0.35,0.35,0.32,16262400,RED,0.37095861183333845
1999-05-25,0.35,0.36,0.35,0.36,0.33,13008000,GREEN,0.3687668894666708
1999-05-26,0.35,0.37,0.35,0.35,0.32,10473600,GREEN,0.36501351157333667
1999-05-27,0.36,0.36,0.35,0.35,0.32,8232000,RED,0.36201080925866935
1999-05-28,0.36,0.36,0.35,0.36,0.33,8865600,GREEN,0.3616086474069355
1999-06-01,0.35,0.36,0.35,0.36,0.33,9854400,GREEN,0.3612869179255484
1999-06-02,0.36,0.36,0.34,0.34,0.32,13012800,RED,0.3570295343404387
1999-06-03,0.35,0.36,0.35,0.35,0.32,4156800,GREEN,0.355623627472351
1999-06-04,0.36,0.36,0.35,0.36,0.33,7891200,GREEN,0.3564989019778808
1999-06-07,0.36,0.36,0.36,0.36,0.33,12513600,GREEN,0.35719912158230466
1999-06-08,0.36,0.38,0.36,0.37,0.34,15331200,GREEN,0.35975929726584377
1999-06-09,0.37,0.38,0.37,0.38,0.34,9518400,GREEN,0.36380743781267505
1999-06-10,0.38,0.38,0.37,0.38,0.35,3609600,GREEN,0.3670459502501401
1999-06-11,0.38,0.38,0.36,0.37,0.34,6100800,RED,0.3676367602001121
1999-06-14,0.37,0.37,0.35,0.35,0.32,5164800,RED,0.3641094081600897
1999-06-15,0.35,0.36,0.35,0.35,0.32,4929600,GREEN,0.3612875265280718
1999-06-16,0.36,0.38,0.35,0.36,0.33,6441600,GREEN,0.3610300212224574
1999-06-17,0.36,0.37,0.35,0.35,0.32,7492800,RED,0.35882401697796595
1999-06-18,0.36,0.36,0.34,0.34,0.31,15873600,RED,0.3550592135823728
1999-06-21,0.35,0.36,0.34,0.36,0.33,8347200,GREEN,0.35604737086589827
1999-06-22,0.36,0.36,0.35,0.35,0.32,19305600,RED,0.35483789669271865
1999-06-23,0.35,0.36,0.35,0.36,0.33,21091200,GREEN,0.35587031735417496
1999-06-24,0.36,0.36,0.35,0.35,0.32,11520000,RED,0.35469625388334
1999-06-25,0.35,0.36,0.35,0.36,0.33,7353600,GREEN,0.355757003106672
1999-06-28,0.37,0.37,0.35,0.36,0.33,10915200,RED,0.3566056024853376
1999-06-29,0.37,0.37,0.36,0.37,0.34,9268800,GREEN,0.3592844819882701
1999-06-30,0.38,0.4,0.37,0.4,0.37,26923200,GREEN,0.3674275855906161
